"","System","System.element","Type","Depth","Weight","LINES_OF_CODE","DUPLICATION","CODE_BREAKDOWN","CODE_BREAKDOWN.Rating","DEPLOYMENT_BREAKDOWN","DEPLOYMENT_BREAKDOWN.Rating","INTER_COMPONENT_DUPLICATION","INTER_COMPONENT_DUPLICATION.Rating","SHARED_CODE","SHARED_CODE.Rating","SHARED_DEPENDENCIES","SHARED_DEPENDENCIES.Rating","COMMUNICATION_CENTRALIZATION","COMMUNICATION_CENTRALIZATION.Rating","INTERFACE_CENTRALIZATION","INTERFACE_CENTRALIZATION.Rating","DATA_STORE_ENCAPSULATION","DATA_STORE_ENCAPSULATION.Rating","COMPONENT_COHESION","COMPONENT_COHESION.Rating","USAGE_COHESION","USAGE_COHESION.Rating","INCOMING_DEPENDENCIES","INCOMING_DEPENDENCIES.Rating","OUTGOING_DEPENDENCIES","OUTGOING_DEPENDENCIES.Rating","COMMUNICATION_COMPLEXITY","COMMUNICATION_COMPLEXITY.Rating","STATELESSNESS","STATELESSNESS.Rating","ASYNCHRONOUS_COMMUNICATION","ASYNCHRONOUS_COMMUNICATION.Rating","COMMUNICATION_BOTTLENECKS","COMMUNICATION_BOTTLENECKS.Rating","DATA_STORE_SCALABILITY","DATA_STORE_SCALABILITY.Rating","TECHNOLOGY_COHESION","TECHNOLOGY_COHESION.Rating","CBA.Rating","SOA.Rating","CLOUD_NATIVENESS.Rating","ARCHITECTURE_MAINTAINABILITY.Rating","ID","Parent.ID"
"32","opensource-electron","opensource-electron","SystemLevel","",18954,18954,5.6,18954,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,3.1,"2b6f75ee-3956-4a54-8155-d8304ed16cb1","2b6f75ee-3956-4a54-8155-d8304ed16cb1"
"33","opensource-gitlabhq","opensource-gitlabhq","SystemLevel","",47463,47463,5.2,47463,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,3.8,"f0145fe2-e92a-4c86-b396-083719fe7eaf","f0145fe2-e92a-4c86-b396-083719fe7eaf"
"34","opensource-mongodb","opensource-mongodb","SystemLevel","",394157,394157,8.9,392542,0.5,NA,NA,0,5.4,NA,NA,NA,NA,99.6,5.4,NA,NA,0,5.5,1,5.5,NA,NA,2,5.4,8,3.2,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,4.6,"f1efd663-f1fa-4811-896d-9a85c1ebe801","f1efd663-f1fa-4811-896d-9a85c1ebe801"
"35","opensource-ncnn","opensource-ncnn","SystemLevel","",21204,21204,36,21204,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,3.1,"17607943-96c1-4785-bd23-e90248ac0e0a","17607943-96c1-4785-bd23-e90248ac0e0a"
"36","opensource-rapidjson","opensource-rapidjson","SystemLevel","",9163,9163,8,9163,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,3.3,"86883fd0-1f62-4caa-8633-692d0984383e","86883fd0-1f62-4caa-8633-692d0984383e"
"37","opensource-telegram","opensource-telegram","SystemLevel","",436511,436511,12.1,164948,0.9,NA,NA,5.2,3.1,NA,NA,NA,NA,95,2,NA,NA,6,3.2,1,4.3,NA,NA,0,3.4,299,1.4,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,"08b636be-2cfd-42a8-acec-3316e97de4b8","08b636be-2cfd-42a8-acec-3316e97de4b8"
"38","opensource-angel","com.tencent.angel","CodeComponent","3L",223,223,4,223,3.2,NA,NA,4,3.6,NA,NA,NA,NA,9.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,97,1.3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"857d01f0-f440-47c9-8e7d-64349f7373cf","857d01f0-f440-47c9-8e7d-64349f7373cf a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4"
"39","opensource-angel","com.tencent.angel.client","CodeComponent","3L",841,841,11.8,841,2.2,NA,NA,6.7,3.2,NA,NA,NA,NA,9.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8,28,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"948ac09a-550b-45a8-978e-105d70e3e417","948ac09a-550b-45a8-978e-105d70e3e417 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4"
"40","opensource-angel","com.tencent.angel.client.local","CodeComponent","3L",97,97,0,97,4.2,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,8,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"df680032-deed-4e51-88c5-cb42603f7857","df680032-deed-4e51-88c5-cb42603f7857 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4"
"41","opensource-angel","com.tencent.angel.client.yarn","CodeComponent","3L",510,510,0,510,2.4,NA,NA,0,5.5,NA,NA,NA,NA,15.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0e57923d-d591-46f2-a6f5-2b121e4618c3","a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 0e57923d-d591-46f2-a6f5-2b121e4618c3"
"42","opensource-angel","com.tencent.angel.common","CodeComponent","3L",135,135,6.7,135,3.7,NA,NA,6.7,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1.4,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51e35e35-f803-4b47-8d28-f6349f8a5218","a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 51e35e35-f803-4b47-8d28-f6349f8a5218"
"43","opensource-angel","com.tencent.angel.conf","CodeComponent","3L",408,408,0,408,2.4,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,79,1.4,11,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fb63e667-5818-499f-b21c-fc6fc95b9bbf","fb63e667-5818-499f-b21c-fc6fc95b9bbf a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4"
"44","opensource-angel","com.tencent.angel.data.inputformat","CodeComponent","3L",481,481,6,481,2.4,NA,NA,6,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3552ce5a-c19a-4260-b94a-eb02579a2462","3552ce5a-c19a-4260-b94a-eb02579a2462 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4"
"45","opensource-angel","com.tencent.angel.exception","CodeComponent","3L",234,234,0,234,3.1,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1.4,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78ec966e-8133-402e-aa87-3875a65553c2","a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 78ec966e-8133-402e-aa87-3875a65553c2"
"46","opensource-angel","com.tencent.angel.io","CodeComponent","3L",27,27,0,27,5.5,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18cd0230-a0d8-4914-9581-2c0520e198b3","18cd0230-a0d8-4914-9581-2c0520e198b3 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4"
"47","opensource-angel","com.tencent.angel.io.retry","CodeComponent","3L",410,410,6.3,410,2.4,NA,NA,3.2,3.8,NA,NA,NA,NA,8.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,4,3.3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5d1d78ef-613a-4b7d-881e-8ef6df7de26b","a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 5d1d78ef-613a-4b7d-881e-8ef6df7de26b"
