"","System","System.element","Type","Depth","Weight","LINES_OF_CODE","DUPLICATION","CODE_BREAKDOWN","CODE_BREAKDOWN.Rating","DEPLOYMENT_BREAKDOWN","DEPLOYMENT_BREAKDOWN.Rating","INTER_COMPONENT_DUPLICATION","INTER_COMPONENT_DUPLICATION.Rating","SHARED_CODE","SHARED_CODE.Rating","SHARED_DEPENDENCIES","SHARED_DEPENDENCIES.Rating","COMMUNICATION_CENTRALIZATION","COMMUNICATION_CENTRALIZATION.Rating","INTERFACE_CENTRALIZATION","INTERFACE_CENTRALIZATION.Rating","DATA_STORE_ENCAPSULATION","DATA_STORE_ENCAPSULATION.Rating","COMPONENT_COHESION","COMPONENT_COHESION.Rating","USAGE_COHESION","USAGE_COHESION.Rating","INCOMING_DEPENDENCIES","INCOMING_DEPENDENCIES.Rating","OUTGOING_DEPENDENCIES","OUTGOING_DEPENDENCIES.Rating","COMMUNICATION_COMPLEXITY","COMMUNICATION_COMPLEXITY.Rating","STATELESSNESS","STATELESSNESS.Rating","ASYNCHRONOUS_COMMUNICATION","ASYNCHRONOUS_COMMUNICATION.Rating","COMMUNICATION_BOTTLENECKS","COMMUNICATION_BOTTLENECKS.Rating","DATA_STORE_SCALABILITY","DATA_STORE_SCALABILITY.Rating","TECHNOLOGY_COHESION","TECHNOLOGY_COHESION.Rating","CBA.Rating","SOA.Rating","CLOUD_NATIVENESS.Rating","ARCHITECTURE_MAINTAINABILITY.Rating","ID","Parent.ID"
"1867","opensource-openstack-neutron","neutron.plugins.ml2.drivers.macvtap.agent","CodeComponent","5L",152,152,0,152,3.6,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"317ac15a-3dda-4924-b2cb-7d971aded916","4e023ac7-1488-485f-a10d-50ac087ebedc c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 317ac15a-3dda-4924-b2cb-7d971aded916 cd20f82a-c876-44fd-8d0a-659a9e6e3545"
"1868","opensource-openstack-neutron","neutron.plugins.ml2.drivers.macvtap.mech_driver","CodeComponent","5L",74,74,0,74,4.4,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ba95ead5-f44a-49e2-a4db-fbfe351fa9b2","ba95ead5-f44a-49e2-a4db-fbfe351fa9b2 4e023ac7-1488-485f-a10d-50ac087ebedc c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d cd20f82a-c876-44fd-8d0a-659a9e6e3545"
"1869","opensource-openstack-neutron","neutron.plugins.ml2.drivers.mech_sriov","CodeComponent","4",962,962,3.1,0,5.5,NA,NA,3.1,3.8,NA,NA,NA,NA,2.1,1.7,NA,NA,NA,NA,0.3,1.7,NA,NA,0,5.5,13,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8f7dda33-7ef5-4258-8d5a-7747ef126f10","4e023ac7-1488-485f-a10d-50ac087ebedc c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 8f7dda33-7ef5-4258-8d5a-7747ef126f10"
"1870","opensource-openstack-neutron","neutron.plugins.ml2.drivers.mech_sriov.agent","CodeComponent","5",842,842,3.6,730,2.3,NA,NA,3.6,3.7,NA,NA,NA,NA,1.8,1.7,NA,NA,NA,NA,0.3,1.8,NA,NA,0,5.5,11,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5f95d201-bdc1-4b4a-8a63-6d737fb31b6f","4e023ac7-1488-485f-a10d-50ac087ebedc 5f95d201-bdc1-4b4a-8a63-6d737fb31b6f c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 8f7dda33-7ef5-4258-8d5a-7747ef126f10"
"1871","opensource-openstack-neutron","neutron.plugins.ml2.drivers.mech_sriov.agent.common","CodeComponent","6L",51,51,0,51,5.5,NA,NA,0,5.5,NA,NA,NA,NA,29.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1300a4dd-753b-452a-bb56-e6e25ccb4a0d","4e023ac7-1488-485f-a10d-50ac087ebedc 5f95d201-bdc1-4b4a-8a63-6d737fb31b6f c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 8f7dda33-7ef5-4258-8d5a-7747ef126f10 1300a4dd-753b-452a-bb56-e6e25ccb4a0d"
"1872","opensource-openstack-neutron","neutron.plugins.ml2.drivers.mech_sriov.agent.extension_drivers","CodeComponent","6L",61,61,0,61,5.4,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0fbdc5a0-2a84-4d89-90f0-c49b470fda11","4e023ac7-1488-485f-a10d-50ac087ebedc 5f95d201-bdc1-4b4a-8a63-6d737fb31b6f c63b9181-c11e-473a-a97a-7ef41a7da6a9 0fbdc5a0-2a84-4d89-90f0-c49b470fda11 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 8f7dda33-7ef5-4258-8d5a-7747ef126f10"
"1873","opensource-openstack-neutron","neutron.plugins.ml2.drivers.mech_sriov.mech_driver","CodeComponent","5L",120,120,0,120,3.9,NA,NA,0,5.5,NA,NA,NA,NA,4.2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"676a39d9-5ac1-46a8-ab66-e6ffe2328601","676a39d9-5ac1-46a8-ab66-e6ffe2328601 4e023ac7-1488-485f-a10d-50ac087ebedc c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 8f7dda33-7ef5-4258-8d5a-7747ef126f10"
"1874","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch","CodeComponent","4",3943,3943,6.2,0,5.5,NA,NA,3.5,3.7,NA,NA,NA,NA,23.2,3.2,NA,NA,NA,NA,0.2,1.6,NA,NA,7,2.9,29,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99307ffa-e5ac-4e74-aae0-a8bade4fe935","4e023ac7-1488-485f-a10d-50ac087ebedc 99307ffa-e5ac-4e74-aae0-a8bade4fe935 c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d"
"1875","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch.agent","CodeComponent","5",3835,3835,6.4,2318,1.5,NA,NA,3.6,3.7,NA,NA,NA,NA,23.8,3.3,NA,NA,NA,NA,0.3,1.6,NA,NA,7,2.9,26,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30394711-6731-4c90-829b-856a4ffe87cc","4e023ac7-1488-485f-a10d-50ac087ebedc 99307ffa-e5ac-4e74-aae0-a8bade4fe935 c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 30394711-6731-4c90-829b-856a4ffe87cc"
"1876","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch.agent.common","CodeComponent","6L",76,76,0,76,4.4,NA,NA,0,5.5,NA,NA,NA,NA,93.4,5.2,NA,NA,NA,NA,NA,NA,NA,NA,13,2.4,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75cc38bb-1f02-4715-8344-0858922aeee4","4e023ac7-1488-485f-a10d-50ac087ebedc 75cc38bb-1f02-4715-8344-0858922aeee4 99307ffa-e5ac-4e74-aae0-a8bade4fe935 c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 30394711-6731-4c90-829b-856a4ffe87cc"
"1877","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch.agent.extension_drivers","CodeComponent","6L",116,116,0,116,4,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6c217ea8-e91a-4e55-a5a9-f09d4af30b86","4e023ac7-1488-485f-a10d-50ac087ebedc 99307ffa-e5ac-4e74-aae0-a8bade4fe935 c63b9181-c11e-473a-a97a-7ef41a7da6a9 6c217ea8-e91a-4e55-a5a9-f09d4af30b86 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 30394711-6731-4c90-829b-856a4ffe87cc"
"1878","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch.agent.openflow","CodeComponent","6",1325,1325,8.9,29,5.5,NA,NA,4.5,3.5,NA,NA,NA,NA,19.9,3.1,NA,NA,NA,NA,0,0.5,NA,NA,0,5.5,13,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2d267d0d-669f-4007-8a69-3b187b27c843","4e023ac7-1488-485f-a10d-50ac087ebedc 99307ffa-e5ac-4e74-aae0-a8bade4fe935 c63b9181-c11e-473a-a97a-7ef41a7da6a9 2d267d0d-669f-4007-8a69-3b187b27c843 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 30394711-6731-4c90-829b-856a4ffe87cc"
"1879","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch.agent.openflow.native","CodeComponent","7L",799,799,7.4,799,2.2,NA,NA,7.4,3.1,NA,NA,NA,NA,17.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3168179f-1491-440b-a515-8d1b4055322a","4e023ac7-1488-485f-a10d-50ac087ebedc 99307ffa-e5ac-4e74-aae0-a8bade4fe935 c63b9181-c11e-473a-a97a-7ef41a7da6a9 2d267d0d-669f-4007-8a69-3b187b27c843 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 30394711-6731-4c90-829b-856a4ffe87cc 3168179f-1491-440b-a515-8d1b4055322a"
"1880","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch.agent.openflow.ovs_ofctl","CodeComponent","7L",497,497,11.9,497,2.4,NA,NA,11.9,2.6,NA,NA,NA,NA,25.6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82e80d4c-8b7f-4712-ad93-60f8408b23fa","4e023ac7-1488-485f-a10d-50ac087ebedc 99307ffa-e5ac-4e74-aae0-a8bade4fe935 82e80d4c-8b7f-4712-ad93-60f8408b23fa c63b9181-c11e-473a-a97a-7ef41a7da6a9 2d267d0d-669f-4007-8a69-3b187b27c843 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d 30394711-6731-4c90-829b-856a4ffe87cc"
"1881","opensource-openstack-neutron","neutron.plugins.ml2.drivers.openvswitch.mech_driver","CodeComponent","5L",108,108,0,108,4,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bb0b77bc-fef6-4354-8272-4ddd33be3dc6","4e023ac7-1488-485f-a10d-50ac087ebedc bb0b77bc-fef6-4354-8272-4ddd33be3dc6 99307ffa-e5ac-4e74-aae0-a8bade4fe935 c63b9181-c11e-473a-a97a-7ef41a7da6a9 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d"
"1882","opensource-openstack-neutron","neutron.plugins.ml2.extensions","CodeComponent","3L",540,540,0,540,2.4,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9012723e-1702-48f1-bc17-aa1c32870ae4","4e023ac7-1488-485f-a10d-50ac087ebedc 9012723e-1702-48f1-bc17-aa1c32870ae4 d24664bf-fbc5-484a-a4bc-f194e263eaea d075e7d7-4b8f-4bae-95e8-7dbe9430af6d"
"1883","opensource-openstack-neutron","neutron.privileged","CodeComponent","1",363,363,8,9,5.5,NA,NA,8,3.1,NA,NA,NA,NA,47.4,3.9,NA,NA,NA,NA,0.5,2.5,NA,NA,1,4.1,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83c90990-4fb2-4257-bbd6-e9d7d5ef6a39","4e023ac7-1488-485f-a10d-50ac087ebedc 83c90990-4fb2-4257-bbd6-e9d7d5ef6a39"
"1884","opensource-openstack-neutron","neutron.privileged.agent","CodeComponent","2",354,354,8.2,0,5.5,NA,NA,8.2,3,NA,NA,NA,NA,46,3.9,NA,NA,NA,NA,0.5,2.5,NA,NA,1,4.1,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d884db65-27d1-4ca9-9b35-77b4c1413b0a","4e023ac7-1488-485f-a10d-50ac087ebedc d884db65-27d1-4ca9-9b35-77b4c1413b0a 83c90990-4fb2-4257-bbd6-e9d7d5ef6a39"
"1885","opensource-openstack-neutron","neutron.privileged.agent.linux","CodeComponent","3L",354,354,8.2,354,2.6,NA,NA,8.2,3,NA,NA,NA,NA,46,3.9,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97af21a6-fe7a-441a-a1d2-abb2b6bd5574","97af21a6-fe7a-441a-a1d2-abb2b6bd5574 4e023ac7-1488-485f-a10d-50ac087ebedc d884db65-27d1-4ca9-9b35-77b4c1413b0a 83c90990-4fb2-4257-bbd6-e9d7d5ef6a39"
"1886","opensource-openstack-neutron","neutron.quota","CodeComponent","1L",466,466,10.5,466,2.4,NA,NA,4.7,3.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,13,2.4,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3bee566-ce12-425a-b804-1e8f5a73eccf","4e023ac7-1488-485f-a10d-50ac087ebedc d3bee566-ce12-425a-b804-1e8f5a73eccf"
"1887","opensource-openstack-neutron","neutron.scheduler","CodeComponent","1L",534,534,0,534,2.4,NA,NA,0,5.5,NA,NA,NA,NA,10.3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ac41afd9-453a-47e9-be08-a38262f4e651","4e023ac7-1488-485f-a10d-50ac087ebedc ac41afd9-453a-47e9-be08-a38262f4e651"
"1888","opensource-openstack-neutron","neutron.server","CodeComponent","1L",61,61,0,61,5.4,NA,NA,0,5.5,NA,NA,NA,NA,59,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"290bc7b6-afe0-46d8-892f-3c0ceead7695","4e023ac7-1488-485f-a10d-50ac087ebedc 290bc7b6-afe0-46d8-892f-3c0ceead7695"
"1889","opensource-openstack-neutron","neutron.services","CodeComponent","1",5648,5648,4.1,235,3.1,NA,NA,2.7,3.9,NA,NA,NA,NA,11.3,2.6,NA,NA,NA,NA,0.4,2,NA,NA,22,2.2,104,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b62ecca6-4e7f-40f7-b39a-66c7ab9e503e","4e023ac7-1488-485f-a10d-50ac087ebedc b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1890","opensource-openstack-neutron","neutron.services.auto_allocate","CodeComponent","2L",323,323,1.9,323,2.7,NA,NA,1.9,4.1,NA,NA,NA,NA,13.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a1267cfc-80da-4a1c-9398-6d5a2f0453f5","4e023ac7-1488-485f-a10d-50ac087ebedc b62ecca6-4e7f-40f7-b39a-66c7ab9e503e a1267cfc-80da-4a1c-9398-6d5a2f0453f5"
"1891","opensource-openstack-neutron","neutron.services.externaldns","CodeComponent","2",167,167,0,34,5.5,NA,NA,0,5.5,NA,NA,NA,NA,20.4,3.1,NA,NA,NA,NA,0.5,2.5,NA,NA,2,3.8,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69bc06ff-ea72-4e27-80f1-995592385b6d","4e023ac7-1488-485f-a10d-50ac087ebedc 69bc06ff-ea72-4e27-80f1-995592385b6d b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1892","opensource-openstack-neutron","neutron.services.externaldns.drivers","CodeComponent","3",133,133,0,0,5.5,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,0,0.5,NA,NA,0,5.5,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3e120d16-4237-4c13-a661-61a6df2db528","4e023ac7-1488-485f-a10d-50ac087ebedc 3e120d16-4237-4c13-a661-61a6df2db528 69bc06ff-ea72-4e27-80f1-995592385b6d b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1893","opensource-openstack-neutron","neutron.services.externaldns.drivers.designate","CodeComponent","4L",133,133,0,133,3.8,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170317c2-d3d0-4c6b-835e-b84ea96d0c50","4e023ac7-1488-485f-a10d-50ac087ebedc 3e120d16-4237-4c13-a661-61a6df2db528 170317c2-d3d0-4c6b-835e-b84ea96d0c50 69bc06ff-ea72-4e27-80f1-995592385b6d b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1894","opensource-openstack-neutron","neutron.services.flavors","CodeComponent","2L",12,12,0,12,5.5,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01360952-c8b8-42cc-b600-a9756cbbbe44","4e023ac7-1488-485f-a10d-50ac087ebedc 01360952-c8b8-42cc-b600-a9756cbbbe44 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1895","opensource-openstack-neutron","neutron.services.l3_router","CodeComponent","2",342,342,0,110,4,NA,NA,0,5.5,NA,NA,NA,NA,17.5,2.9,NA,NA,NA,NA,0.4,2.1,NA,NA,0,5.5,8,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a8b035f0-a59b-43f0-ae13-0f3a0826d54e","4e023ac7-1488-485f-a10d-50ac087ebedc a8b035f0-a59b-43f0-ae13-0f3a0826d54e b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1896","opensource-openstack-neutron","neutron.services.l3_router.service_providers","CodeComponent","3L",232,232,0,232,3.1,NA,NA,0,5.5,NA,NA,NA,NA,25.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19b803ef-21df-49b0-92db-990a353581fb","4e023ac7-1488-485f-a10d-50ac087ebedc 19b803ef-21df-49b0-92db-990a353581fb a8b035f0-a59b-43f0-ae13-0f3a0826d54e b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1897","opensource-openstack-neutron","neutron.services.logapi","CodeComponent","2",653,653,7.5,83,4.3,NA,NA,5.4,3.4,NA,NA,NA,NA,14.4,2.8,NA,NA,NA,NA,0.3,1.9,NA,NA,2,3.8,21,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e4aac1d1-0d43-4440-b82c-483e4559d7d4","4e023ac7-1488-485f-a10d-50ac087ebedc e4aac1d1-0d43-4440-b82c-483e4559d7d4 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1898","opensource-openstack-neutron","neutron.services.logapi.agent","CodeComponent","3L",88,88,8,88,4.3,NA,NA,8,3.1,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b76bfa9d-d20b-43ff-9225-509920a2891d","b76bfa9d-d20b-43ff-9225-509920a2891d 4e023ac7-1488-485f-a10d-50ac087ebedc e4aac1d1-0d43-4440-b82c-483e4559d7d4 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1899","opensource-openstack-neutron","neutron.services.logapi.common","CodeComponent","3L",288,288,9.7,288,2.9,NA,NA,4.9,3.4,NA,NA,NA,NA,16,2.9,NA,NA,NA,NA,NA,NA,NA,NA,7,2.9,7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65b9f322-3b57-4e8d-a431-a716377977c7","4e023ac7-1488-485f-a10d-50ac087ebedc e4aac1d1-0d43-4440-b82c-483e4559d7d4 65b9f322-3b57-4e8d-a431-a716377977c7 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1900","opensource-openstack-neutron","neutron.services.logapi.drivers","CodeComponent","3L",137,137,10.2,137,3.7,NA,NA,10.2,2.8,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05023767-6823-4ff7-a838-6415e726ce55","4e023ac7-1488-485f-a10d-50ac087ebedc e4aac1d1-0d43-4440-b82c-483e4559d7d4 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e 05023767-6823-4ff7-a838-6415e726ce55"
"1901","opensource-openstack-neutron","neutron.services.logapi.rpc","CodeComponent","3L",57,57,0,57,5.5,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5363c6f9-0228-4861-a9a3-0d3f06342e85","4e023ac7-1488-485f-a10d-50ac087ebedc e4aac1d1-0d43-4440-b82c-483e4559d7d4 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e 5363c6f9-0228-4861-a9a3-0d3f06342e85"
"1902","opensource-openstack-neutron","neutron.services.loki","CodeComponent","2L",26,26,0,26,5.5,NA,NA,0,5.5,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8c5c7bdf-00f8-45f6-b257-7b4c918cf0f2","4e023ac7-1488-485f-a10d-50ac087ebedc 8c5c7bdf-00f8-45f6-b257-7b4c918cf0f2 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1903","opensource-openstack-neutron","neutron.services.metering","CodeComponent","2",681,681,7,46,5.5,NA,NA,4.6,3.5,NA,NA,NA,NA,10.3,2.6,NA,NA,NA,NA,0.2,1.5,NA,NA,1,4.1,11,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cf641bca-f58b-4bc4-8709-c88c70280b66","4e023ac7-1488-485f-a10d-50ac087ebedc cf641bca-f58b-4bc4-8709-c88c70280b66 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1904","opensource-openstack-neutron","neutron.services.metering.agents","CodeComponent","3L",231,231,2.6,231,3.1,NA,NA,2.6,3.9,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,4.1,5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f66c3aa0-5541-40fe-a96e-f1136c8b4a2b","4e023ac7-1488-485f-a10d-50ac087ebedc cf641bca-f58b-4bc4-8709-c88c70280b66 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e f66c3aa0-5541-40fe-a96e-f1136c8b4a2b"
"1905","opensource-openstack-neutron","neutron.services.metering.drivers","CodeComponent","3",404,404,10.4,43,5.5,NA,NA,6.2,3.3,NA,NA,NA,NA,17.3,2.9,NA,NA,NA,NA,0.3,1.9,NA,NA,1,4.1,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5e9f1b0e-df05-4d84-b90a-09a634ea23b0","4e023ac7-1488-485f-a10d-50ac087ebedc 5e9f1b0e-df05-4d84-b90a-09a634ea23b0 cf641bca-f58b-4bc4-8709-c88c70280b66 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
"1906","opensource-openstack-neutron","neutron.services.metering.drivers.iptables","CodeComponent","4L",334,334,12.6,334,2.7,NA,NA,7.5,3.1,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c347eb3e-5ec3-4eb6-a086-d03ea5332b7f","4e023ac7-1488-485f-a10d-50ac087ebedc 5e9f1b0e-df05-4d84-b90a-09a634ea23b0 c347eb3e-5ec3-4eb6-a086-d03ea5332b7f cf641bca-f58b-4bc4-8709-c88c70280b66 b62ecca6-4e7f-40f7-b39a-66c7ab9e503e"
